participant,photo_set,group,trial,block,accuracy,RT,learn_half,groupname,meanrt,stdev
0001,2,1,1,1,0,5.97242589993402,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,2,1,0,4.47606060001999,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,3,1,1,4.51943310000934,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,4,1,1,3.99723449989688,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,5,1,1,5.36293179995846,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,6,2,0,6.27343649999239,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,7,2,1,3.61298850004096,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,8,2,1,4.15602719993331,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,9,2,1,3.57444090000354,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,10,2,0,5.947355399956,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,11,3,1,3.45117770007346,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,12,3,1,6.39848689991049,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,13,3,0,4.55120810004883,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,14,3,1,4.18651289993431,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,15,4,1,3.65483100002166,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,16,4,1,3.90455340000335,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,17,4,1,3.7070684999926,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,18,4,0,5.90800689999014,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,19,4,0,4.79722309997305,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,20,5,0,3.48155529994983,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,21,5,1,3.61847569991369,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,22,5,1,4.75269540003501,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,23,5,1,3.47543079999741,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,34,5,0,5.9278750999365,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,25,6,1,4.03724949993193,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,26,6,0,5.08992339996621,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,27,6,0,4.62859470001422,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,28,6,0,3.99894109996967,2,Sequential,4.55221942497883,0.943144353983975
0002,3,1,3,1,0,4.04856330004986,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,4,1,1,5.52001850004308,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,5,1,1,5.72254049999174,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,7,2,1,5.47129940008745,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,8,2,1,3.87483060010709,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,9,2,1,5.06748289999086,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,10,2,0,5.88158409995958,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,11,3,1,4.91898069996387,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,13,3,0,4.81365239992738,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,14,3,1,5.54749900009483,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,15,4,1,3.94267799996305,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,16,4,0,5.80214659997728,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,17,4,1,3.41352429997642,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,18,4,1,4.82284120004624,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,19,4,1,5.81622209993657,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,20,5,1,6.8494733000407,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,21,5,1,3.81117770005949,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,22,5,1,3.63185269990936,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,23,5,1,3.43003639997914,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,34,5,1,3.78819709992968,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,25,6,1,4.84276109992061,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,26,6,0,3.84249480010476,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,27,6,1,4.87832309992518,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,28,6,0,5.38201679999474,2,Sequential,5.219799544442342,1.4966009790614072
0003,5,1,1,1,0,7.65807020000648,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,2,1,0,7.54496389999986,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,3,1,1,5.27044970006682,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,5,1,1,3.97713090002071,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,6,2,0,6.54963489994407,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,7,2,1,4.53840520000085,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,8,2,1,4.53079759993125,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,9,2,1,6.1575985000236,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,10,2,1,4.49325599998701,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,11,3,1,3.38358989998233,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,12,3,0,7.8242815999547,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,13,3,1,4.0819024000084,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,14,3,1,4.64998459990602,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,15,4,1,6.54605650005396,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,16,4,1,3.80049850000069,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,17,4,1,3.76704919990152,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,18,4,0,6.46627640002407,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,19,4,1,6.27341130003333,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,20,5,1,4.14503680006601,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,21,5,1,5.48432130005676,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,22,5,1,5.60178979998454,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,23,5,1,5.47688890004065,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,34,5,1,3.95781930000521,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,25,6,1,5.52416689996608,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,26,6,1,5.67613469995558,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,27,6,1,4.00343600008637,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,28,6,1,4.15810340002645,2,Sequential,5.390703314287488,1.47608192321719
0004,3,2,1,1,1,6.21381390000005,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,3,1,1,5.36255549999998,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,4,1,1,7.09701530000001,1,Non-sequential,5.366143053571423,1.4852542901852237
