participant,photo_set,trial,block,accuracy,RT,learn_half,meanrt,stdev
112,1,2,1,0,7.11174529999971,1,5.904209128571589,1.5058157608298863
112,1,3,1,1,6.82973799999945,1,5.904209128571589,1.5058157608298863
112,1,4,1,1,8.89339810000001,1,5.904209128571589,1.5058157608298863
112,1,5,1,0,5.77483159999974,1,5.904209128571589,1.5058157608298863
112,1,6,2,1,4.42093209999985,1,5.904209128571589,1.5058157608298863
112,1,7,2,1,4.86470510000072,1,5.904209128571589,1.5058157608298863
112,1,11,3,1,4.80515980000018,1,5.904209128571589,1.5058157608298863
112,1,13,3,0,8.27044249999926,1,5.904209128571589,1.5058157608298863
112,1,14,3,0,5.96290369999952,1,5.904209128571589,1.5058157608298863
112,1,16,6,1,4.64727270000003,2,5.904209128571589,1.5058157608298863
112,1,17,4,1,4.96060209999996,2,5.904209128571589,1.5058157608298863
112,1,18,4,0,4.98665479999909,2,5.904209128571589,1.5058157608298863
112,1,20,4,1,4.44316849999996,2,5.904209128571589,1.5058157608298863
112,1,21,4,0,7.23362819999966,2,5.904209128571589,1.5058157608298863
112,1,22,5,1,4.81621439999981,2,5.904209128571589,1.5058157608298863
112,1,23,5,1,5.34837120000157,2,5.904209128571589,1.5058157608298863
112,1,24,5,0,6.38968470000145,2,5.904209128571589,1.5058157608298863
112,1,25,5,1,4.90383010000005,2,5.904209128571589,1.5058157608298863
112,1,27,5,1,4.80869710000115,2,5.904209128571589,1.5058157608298863
112,1,28,5,1,4.98714290000134,2,5.904209128571589,1.5058157608298863
113,1,3,1,0,7.21482579997974,1,6.3882389499944665,1.2910145667243342
113,1,4,1,1,7.21866479999153,1,6.3882389499944665,1.2910145667243342
113,1,6,2,1,8.36536249995697,1,6.3882389499944665,1.2910145667243342
113,1,8,2,1,5.79539679997833,1,6.3882389499944665,1.2910145667243342
113,1,9,2,0,7.81492689996958,1,6.3882389499944665,1.2910145667243342
113,1,10,2,0,6.69652290001977,1,6.3882389499944665,1.2910145667243342
113,1,11,3,1,6.20974030002253,1,6.3882389499944665,1.2910145667243342
113,1,12,3,0,5.88077079999493,1,6.3882389499944665,1.2910145667243342
113,1,13,3,0,6.79937349999091,1,6.3882389499944665,1.2910145667243342
113,1,14,3,1,7.34311349998461,1,6.3882389499944665,1.2910145667243342
113,1,15,6,0,6.2481056000106,2,6.3882389499944665,1.2910145667243342
113,1,16,6,1,5.93678910000017,2,6.3882389499944665,1.2910145667243342
113,1,17,4,1,5.63975679996656,2,6.3882389499944665,1.2910145667243342
113,1,18,4,1,5.40476669999771,2,6.3882389499944665,1.2910145667243342
113,1,19,4,0,5.68241649999982,2,6.3882389499944665,1.2910145667243342
113,1,20,4,1,4.98829969996586,2,6.3882389499944665,1.2910145667243342
113,1,21,4,0,5.55614020000212,2,6.3882389499944665,1.2910145667243342
113,1,22,5,1,6.30094180000015,2,6.3882389499944665,1.2910145667243342
113,1,23,5,0,6.5275202000048,2,6.3882389499944665,1.2910145667243342
113,1,24,5,0,5.52503020002041,2,6.3882389499944665,1.2910145667243342
113,1,25,5,1,5.34278880001511,2,6.3882389499944665,1.2910145667243342
113,1,26,5,1,5.26137650001328,2,6.3882389499944665,1.2910145667243342
113,1,27,5,0,4.77457350003533,2,6.3882389499944665,1.2910145667243342
113,1,28,5,0,4.56444319995353,2,6.3882389499944665,1.2910145667243342
114,3,2,1,0,6.57658410002477,1,6.899542118515389,1.2152004038691473
114,3,3,1,1,7.61477390001528,1,6.899542118515389,1.2152004038691473
114,3,4,1,0,8.35029769997345,1,6.899542118515389,1.2152004038691473
114,3,5,1,1,4.93409599998267,1,6.899542118515389,1.2152004038691473
114,3,6,2,1,8.47248940001009,1,6.899542118515389,1.2152004038691473
114,3,7,2,1,4.90910859999713,1,6.899542118515389,1.2152004038691473
114,3,8,2,0,5.99979149998398,1,6.899542118515389,1.2152004038691473
114,3,9,2,1,7.62557989999186,1,6.899542118515389,1.2152004038691473
114,3,10,2,1,5.54011950001586,1,6.899542118515389,1.2152004038691473
114,3,11,3,0,8.73818169999868,1,6.899542118515389,1.2152004038691473
114,3,12,3,0,8.58599419996608,1,6.899542118515389,1.2152004038691473
114,3,13,3,1,6.10045989998616,1,6.899542118515389,1.2152004038691473
114,3,14,3,0,8.60324949998176,1,6.899542118515389,1.2152004038691473
114,3,15,6,0,6.95430639997358,2,6.899542118515389,1.2152004038691473
114,3,16,6,0,7.14992070000153,2,6.899542118515389,1.2152004038691473
114,3,17,4,1,5.19427899998846,2,6.899542118515389,1.2152004038691473
